Source,Target,Type,Id,Label,Weight,Art der Beziehung
441,19,Directed,838,angestellt bei,1,angestellt bei
442,25,Directed,839,studiert an,1,studiert an
442,7,Directed,840,angestellt bei,1,angestellt bei
442,12,Directed,841,studiert an,1,studiert an
443,8,Directed,842,studiert an,1,studiert an
443,12,Directed,843,angestellt bei,1,angestellt bei
444,67,Directed,844,studiert an,1,studiert an
444,68,Directed,845,studiert an,1,studiert an
445,69,Directed,846,angestellt bei,1,angestellt bei
445,143,Directed,847,Mitglied von,1,Mitglied von
445,47,Directed,849,studiert an,1,studiert an
445,148,Directed,850,angestellt bei,1,angestellt bei
446,70,Directed,851,angestellt bei,1,angestellt bei
446,170,Directed,852,Mitglied von,1,Mitglied von
446,55,Directed,853,angestellt bei,1,angestellt bei
446,9,Directed,855,angestellt bei,1,angestellt bei
446,149,Directed,858,angestellt bei,1,angestellt bei
447,26,Directed,862,studiert an,1,studiert an
447,24,Directed,863,angestellt bei,1,angestellt bei
447,44,Directed,864,studiert an,1,studiert an
448,9,Directed,865,angestellt bei,1,angestellt bei
448,150,Directed,866,angestellt bei,1,angestellt bei
449,143,Directed,867,Mitglied von,1,Mitglied von
449,27,Directed,868,angestellt bei,1,angestellt bei
449,195,Directed,870,Mitglied von,1,Mitglied von
449,50,Directed,871,angestellt bei,1,angestellt bei
629,541,Directed,1073,Schüler*in von,1,Schüler*in von
450,168,Directed,873,Mitglied von,1,Mitglied von
450,9,Directed,874,angestellt bei,1,angestellt bei
451,449,Directed,875,Schüler*in von,1,Schüler*in von
451,27,Directed,876,angestellt bei,1,angestellt bei
451,50,Directed,878,studiert an,1,studiert an
451,151,Directed,879,angestellt bei,1,angestellt bei
451,547,Directed,880,Schüler*in von,1,Schüler*in von
451,52,Directed,881,angestellt bei,1,angestellt bei
451,548,Directed,882,Schüler*in von,1,Schüler*in von
452,55,Directed,883,angestellt bei,1,angestellt bei
452,9,Directed,885,angestellt bei,1,angestellt bei
452,71,Directed,886,angestellt bei,1,angestellt bei
453,9,Directed,889,angestellt bei,1,angestellt bei
453,170,Directed,890,Mitglied von,1,Mitglied von
454,44,Directed,892,studiert an,1,studiert an
454,64,Directed,893,angestellt bei,1,angestellt bei
